,topk,alpha_topk,alpha_sparsity,alpha_gt_acc,alpha_pred_acc,alpha_kld
286,6,6.0,0.3529411852359772,1.0,1.0,0.0021799905225634575
287,7,7.0,0.4117647111415863,1.0,1.0,0.003039286471903324
288,8,7.0,0.4117647111415863,1.0,1.0,0.003039286471903324
289,9,9.0,0.529411792755127,1.0,1.0,0.003039286471903324
290,10,9.0,0.529411792755127,1.0,1.0,0.003039286471903324
291,11,9.0,0.529411792755127,1.0,1.0,0.003039286471903324
292,12,9.0,0.529411792755127,1.0,1.0,0.003039286471903324
293,13,9.0,0.529411792755127,1.0,1.0,0.003039286471903324
294,14,9.0,0.529411792755127,1.0,1.0,0.003039286471903324
295,15,9.0,0.529411792755127,1.0,1.0,0.003039286471903324
296,16,9.0,0.529411792755127,1.0,1.0,0.003039286471903324
297,17,17.0,1.0,1.0,1.0,-1.4354741395550263e-08
298,18,17.0,1.0,1.0,1.0,-1.4354741395550263e-08
299,19,17.0,1.0,1.0,1.0,-1.4354741395550263e-08
300,0,0.0,0.0,0.0,0.0,3.177905559539795
301,1,1.0,0.06666667014360428,0.0,0.0,2.6248185634613037
302,2,2.0,0.13333334028720856,1.0,1.0,0.18634401261806488
303,3,3.0,0.20000000298023224,1.0,1.0,0.015888433903455734
304,4,4.0,0.2666666805744171,1.0,1.0,0.0010466927196830511
305,5,5.0,0.3333333432674408,1.0,1.0,0.019327286630868912
306,6,6.0,0.4000000059604645,1.0,1.0,0.003359387628734112
307,7,7.0,0.46666666865348816,1.0,1.0,0.00431186705827713
308,8,8.0,0.5333333611488342,1.0,1.0,0.0011978009715676308
309,9,8.0,0.5333333611488342,1.0,1.0,0.0011978009715676308
310,10,10.0,0.6666666865348816,1.0,1.0,0.0011978009715676308
311,11,10.0,0.6666666865348816,1.0,1.0,0.0011978009715676308
312,12,10.0,0.6666666865348816,1.0,1.0,0.0011978009715676308
313,13,10.0,0.6666666865348816,1.0,1.0,0.0011978009715676308
314,14,10.0,0.6666666865348816,1.0,1.0,0.0011978009715676308
315,15,15.0,1.0,1.0,1.0,-2.677714761034622e-08
316,16,15.0,1.0,1.0,1.0,-2.677714761034622e-08
317,17,15.0,1.0,1.0,1.0,-2.677714761034622e-08
318,18,15.0,1.0,1.0,1.0,-2.677714761034622e-08
319,19,15.0,1.0,1.0,1.0,-2.677714761034622e-08
320,0,0.0,0.0,0.0,0.0,3.358891725540161
321,1,1.0,0.006493506487458944,0.0,0.0,3.358891725540161
322,2,2.0,0.012987012974917889,0.0,0.0,4.313333034515381
323,3,3.0,0.019480518996715546,0.0,0.0,1.5879995822906494
324,4,4.0,0.025974025949835777,0.0,0.0,2.0938169956207275
