,graph_idx,dim,info
127,731,15,0.010725468397140503
128,735,0,0.7545598149299622
129,735,1,0.054268401116132736
130,735,2,0.038387563079595566
131,735,3,0.007750512100756168
132,735,4,0.014234062284231186
133,735,5,0.009544932283461094
134,735,6,0.014553683809936047
135,735,7,0.009638788178563118
136,735,8,0.009238848462700844
137,735,9,0.009816985577344894
138,735,10,0.01774349994957447
139,735,11,0.012794391252100468
140,735,12,0.007808874361217022
141,735,13,0.008358105085790157
142,735,14,0.013616223819553852
143,735,15,0.01768532022833824
144,753,0,0.6491794586181641
145,753,1,0.09791022539138794
146,753,2,0.08131184428930283
147,753,3,0.013688093051314354
148,753,4,0.01319075282663107
149,753,5,0.006058219820261002
150,753,6,0.01129552349448204
151,753,7,0.0190602894872427
152,753,8,0.020264454185962677
153,753,9,0.011986169032752514
154,753,10,0.011329982429742813
155,753,11,0.01308149378746748
156,753,12,0.013024762272834778
157,753,13,0.013988345861434937
158,753,14,0.01155102252960205
159,753,15,0.013079391792416573
160,763,0,0.7582674026489258
161,763,1,0.06609319150447845
162,763,2,0.03043762408196926
163,763,3,0.015444286167621613
164,763,4,0.015294453129172325
165,763,5,0.009046665392816067
166,763,6,0.009854576550424099
167,763,7,0.012932522222399712
168,763,8,0.011131138540804386
169,763,9,0.010632713325321674
170,763,10,0.006562260445207357
171,763,11,0.007196035701781511
172,763,12,0.016111375764012337
173,763,13,0.010421078652143478
174,763,14,0.008700648322701454
175,763,15,0.011874030344188213
176,767,0,0.648743748664856
177,767,1,0.09106938540935516
178,767,2,0.12137918919324875
179,767,3,0.007010018918663263
180,767,4,0.01030514296144247
181,767,5,0.010740518569946289
182,767,6,0.012859036214649677
183,767,7,0.007921187207102776
184,767,8,0.010921691544353962
185,767,9,0.010125375352799892
186,767,10,0.009731819853186607
187,767,11,0.011433687061071396
188,767,12,0.017995378002524376
189,767,13,0.01350601390004158
190,767,14,0.008088315837085247
191,767,15,0.008169461041688919
192,768,0,0.6767162680625916
193,768,1,0.06017830967903137
194,768,2,0.10745947062969208
195,768,3,0.007914460264146328
196,768,4,0.012167859822511673
197,768,5,0.014842275530099869
198,768,6,0.010698718018829823
199,768,7,0.011544539593160152
200,768,8,0.012244961224496365
201,768,9,0.013290399685502052
202,768,10,0.009381137788295746
203,768,11,0.011368158273398876
204,768,12,0.013433863408863544
205,768,13,0.017191387712955475
206,768,14,0.012773753143846989
207,768,15,0.008794431574642658
208,770,0,0.5182639956474304
209,770,1,0.1060018315911293
210,770,2,0.1877797544002533
211,770,3,0.014852546155452728
212,770,4,0.011889658868312836
213,770,5,0.0061258417554199696
214,770,6,0.014037990011274815
215,770,7,0.00889342650771141
216,770,8,0.00927768088877201
217,770,9,0.014633426442742348
218,770,10,0.020413121208548546
219,770,11,0.013521946035325527
220,770,12,0.025759339332580566
221,770,13,0.014604845084249973
222,770,14,0.01053206529468298
223,770,15,0.02341252937912941
224,771,0,0.678128719329834
225,771,1,0.08160734176635742
226,771,2,0.07239572703838348
227,771,3,0.010405735112726688
228,771,4,0.013311706483364105
229,771,5,0.015317344106733799
230,771,6,0.013107433915138245
231,771,7,0.01014956645667553
232,771,8,0.013375966809689999
233,771,9,0.011875351890921593
234,771,10,0.01803158037364483
235,771,11,0.01839502342045307
236,771,12,0.01125939842313528
237,771,13,0.010938447900116444
238,771,14,0.008832328021526337
239,771,15,0.012868331745266914
240,777,0,0.7499949336051941
241,777,1,0.05016832798719406
242,777,2,0.05879707261919975
243,777,3,0.00862437766045332
244,777,4,0.010560566559433937
245,777,5,0.005292724352329969
246,777,6,0.008619138970971107
247,777,7,0.010201150551438332
248,777,8,0.0110443951562047
249,777,9,0.019314303994178772
250,777,10,0.010290640406310558
251,777,11,0.01359610166400671
252,777,12,0.006497567519545555
253,777,13,0.012803641147911549
254,777,14,0.012890512123703957
255,777,15,0.01130457129329443
256,778,0,0.6026844382286072
257,778,1,0.11362939327955246
258,778,2,0.10434015840291977
259,778,3,0.013117755763232708
260,778,4,0.011200605891644955
261,778,5,0.014078930020332336
262,778,6,0.013806097209453583
263,778,7,0.01573268137872219
264,778,8,0.02160639502108097
265,778,9,0.013455861248075962
266,778,10,0.009366442449390888
267,778,11,0.01503991149365902
268,778,12,0.012489681132137775
269,778,13,0.01248217187821865
270,778,14,0.016247348859906197
271,778,15,0.010722137056291103
272,779,0,0.6193149089813232
273,779,1,0.09274618327617645
274,779,2,0.11396815627813339
275,779,3,0.011442496441304684
276,779,4,0.01830664649605751
277,779,5,0.02252252772450447
278,779,6,0.012727796100080013
279,779,7,0.011379188857972622
280,779,8,0.013659672811627388
281,779,9,0.014303564094007015
282,779,10,0.013797460123896599
283,779,11,0.013638216070830822
284,779,12,0.007203030865639448
285,779,13,0.006968953181058168
286,779,14,0.013322565704584122
287,779,15,0.01469865906983614
288,786,0,0.6920880079269409
289,786,1,0.05463651940226555
290,786,2,0.07602942734956741
291,786,3,0.010763593018054962
292,786,4,0.012992625124752522
293,786,5,0.0120964040979743
294,786,6,0.008687307126820087
295,786,7,0.013863620348274708
296,786,8,0.018303411081433296
297,786,9,0.018058300018310547
298,786,10,0.018817268311977386
299,786,11,0.010020515881478786
300,786,12,0.016002673655748367
301,786,13,0.009977412410080433
302,786,14,0.00940893217921257
303,786,15,0.018253952264785767
304,788,0,0.6540258526802063
305,788,1,0.10349545627832413
306,788,2,0.07095374912023544
307,788,3,0.009998580440878868
308,788,4,0.012427759356796741
309,788,5,0.011824283748865128
310,788,6,0.008431907743215561
